Serial,DeploymentId,Name,DBA,InvHub-Invoices,InvHub-Statements,EP-Unknown,EP-Unknown-PAID,EP-SO,EP-SO-PAID,EP-PartsDeposit,EP-PartsDeposit-PAID,EP-SalesDeposit,EP-SalesDeposit-PAID,EP-Invoice,EP-Invoice-PAID,EP-SODeposit,EP-SODeposit-PAID,EP-ApptDeposit,EP-ApptDeposit-PAID,EP-ARExpressPay,EP-ARExpressPay-PAID,EP-ARStatement,EP-ARStatement-PAID,Usage-AddWork,Usage-AddWorkTech,Usage-ArchiveCount,Usage-AttachmentCount,Usage-AutoBilling,Usage-BarcodeLabel,Usage-BinLabel,Usage-CustomerCare,Usage-DataTablesTotalSize,Usage-DealActivity,Usage-DueBill,Usage-eSignature,Usage-InspectionReportLayout,Usage-MakeReady,Usage-MaxUsers,Usage-OnlineApproval,Usage-PartRequest,Usage-PickTicketLabel,Usage-PurchaseOrder,Usage-ServiceEstimates,Usage-ServiceInspections,Usage-ServiceOrders,Usage-ServiceOrders-Closed,Usage-ServiceOrders-CustPay,Usage-ServieOrders-WithMedia,Usage-SOPLabel,Usage-TiresInStorage,Usage-TireStorageLabel,Usage-VSL,Usage-WPEvent
5648,d1a2b293-df3e-4ca9-8ef2-b3b0a30fe566,RIVERSIDE FORD SALES LIMITED,BROCKVILLE FORD,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,258,3233,125,0,1,0,1,4728,0,42,,,0,33,0,767,1,44,1,,482,362,319,2,3,0,0,0,237
5650,98767c55-ccd1-4c8f-9990-1460268ef763,OWASCO SPA FOR RV & AUTO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,38199,7580,0,0,0,1,109720,0,0,,0,1,3,0,1,0,0,0,0,411,385,12,0,0,609,0,0,0
5651,98767c55-ccd1-4c8f-9990-1460268ef763,WHITBY COLLISION AND GLASS,,98,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,22,0,38199,7580,0,0,0,1,109720,0,0,,0,1,5,0,0,0,0,7,0,196,158,173,0,0,609,0,0,107
5652,F202E505-C03D-4F6C-A5D7-CBAE3327195D,ALW Holding Corp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53525,3129,0,0,0,0,156672,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,234,0,0,20
5653,F202E505-C03D-4F6C-A5D7-CBAE3327195D,Novus Automotive Ltd.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53525,3129,0,0,0,0,156672,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,234,0,0,20
5654,F202E505-C03D-4F6C-A5D7-CBAE3327195D,2500030 Ontario Inc.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53525,3129,0,0,0,0,156672,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,234,0,0,20
5655,98767c55-ccd1-4c8f-9990-1460268ef763,OWASCO CANADIAN CAR AND CAMPER RENTAL LTD.,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5656,98767c55-ccd1-4c8f-9990-1460268ef763,PLVB INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5657,98767c55-ccd1-4c8f-9990-1460268ef763,ALB INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5658,98767c55-ccd1-4c8f-9990-1460268ef763,1816451 ONTARIO LIMITED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5659,98767c55-ccd1-4c8f-9990-1460268ef763,2335051 ONTARIO LIMITED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5660,98767c55-ccd1-4c8f-9990-1460268ef763,RVCLB INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5661,98767c55-ccd1-4c8f-9990-1460268ef763,OWASCO LEASING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38199,7580,0,0,0,1,109720,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,4080
5662,F202E505-C03D-4F6C-A5D7-CBAE3327195D,2837836 Ontario Inc.,Durham Harley-Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53525,3129,0,0,0,0,156672,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,234,0,0,20
5665,f1954f16-d39f-49c4-91f5-4a01be58857c,MOTORLINE AUTO GROUP INC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,649,7,0,0,0,0,1696,1,61,,0,6,11,0,0,0,33,0,0,101,84,25,0,0,1,0,0,1396
5674,aca41cd2-d439-447b-9cac-34afee1c20c1,2776588 ONTARIO LIMITED,TRUCKTOWN,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,672,24,0,0,0,0,30304,0,1,,,0,13,0,0,0,211,1,,111,98,5,0,1,0,0,0,25
5679,f1954f16-d39f-49c4-91f5-4a01be58857c,2423893 ONTARIO INC,Torq Car Rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,7,0,0,0,0,1696,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5680,f1954f16-d39f-49c4-91f5-4a01be58857c,AutoGlass Pro Inc,AutoGlass Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,7,0,0,0,0,1696,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5681,f1954f16-d39f-49c4-91f5-4a01be58857c,Bond Leasing and Finance Ltd,Bond Leasing and Finance Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,7,0,0,0,0,1696,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5684,962077ED-6CD4-416C-B302-F6E293DB58A0,LALLY MANAGEMENT SERVICES LTD.,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11990,1968,0,0,0,5,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,229
5685,1f404dea-3212-4d0d-ad2a-643c99f4132a,ROADSPORT RFL EXETER INC.,EXETER FORD LINCOLN,168,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,84,3143,167,0,0,0,0,14872,0,66,,,0,20,0,0,1,8,2,,562,445,371,0,4,0,1,0,164
5686,83650347-a6aa-41a0-b1d1-459551df1036,CAR CENTRAL INC.,,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,168,7,0,0,0,0,4488,0,17,,,0,13,0,2,0,0,4,,30,25,6,0,0,0,0,0,2
5687,ecc5f14f-6c99-4979-bc18-84613c6711e0,SAUNDERS MOTORS INC.,WOODSTOCK MAZDA,21,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,29359,5054,0,0,0,1,81128,0,37,,,107,12,0,0,0,0,0,,255,246,186,0,0,512,2,0,16
5689,78dfecd4-2e67-4601-bda8-000a15bbf4f5,2553293 ONTARIO INC,SERPA MOTORSPORTS,13,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,20,0,1251,51,0,8,0,0,5808,0,38,,,1,10,0,0,0,0,1,,144,106,85,2,2,0,0,0,181
5695,e47c2aca-0693-4164-b6cd-85f0646f848d,722927 ONTARIO INC,DICKSON FORD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,23,1259,141,0,1,0,0,24,0,24,,,6,11,0,332,0,0,6,,223,167,137,0,1,9,0,0,174
5696,69f9cdb9-c004-45e9-a0d1-c5146a6dc12e,Autoland Leading Inc,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50652,3660,0,0,0,1,32,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,37,0,0,0
5700,F1734060-21C3-4066-BC29-F71EC486EED3,OLYMPIC MOTORS (WC) V CORPORATION,BOUNDARY HYUNDAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,386,0,0,0,0,912,0,6,,,5,7,0,0,0,0,0,,0,0,0,0,0,0,0,1,3
5701,6de2248e-cf49-4296-bd63-e9f31fd654fb,OLYMPIC MOTORS (WC) VII CORPORATION,OLYMPIC MARINE & RECREATION CHILLIWACK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1194,176,0,2,0,1,1280,2,0,,,2,7,0,2,0,12,0,,26,7,22,0,1,0,0,0,3
5702,F1734060-21C3-4066-BC29-F71EC486EED3,OLYMPIC MOTORS (WC) I CORPORATION,RICHMOND SUBARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,386,0,0,0,0,912,0,0,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5703,F1734060-21C3-4066-BC29-F71EC486EED3,OLYMPIC MOTORS (WC) IIII CORPORATION,KIA RICHMOND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,386,0,0,0,0,912,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5704,F1734060-21C3-4066-BC29-F71EC486EED3,OLYMPIC MOTORS (WC) IV,KIA VANCOUVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,386,0,0,0,0,912,1,3,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
5705,F1734060-21C3-4066-BC29-F71EC486EED3,OLYMPIC MOTORS (WC) V CORPORATION,GENESIS VANCOUVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4162,386,0,0,0,0,912,1,4,,,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,0
5708,5E8D6640-26D7-4A50-8619-5297BC67BC4A,BANNISTER DEALER SUPPORT TEAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50257,4782,0,0,0,0,383760,0,0,,,2,6,0,0,0,0,0,,0,0,0,0,0,251,0,0,2148
5709,F9BD4839-C0E9-499C-86A5-20B7DD2B4D44,APPLEWOOD MOTORS SURREY INC,APPLEWOOD MAZDA SURREY,60,0,0,0,3,3,19,14,15,9,0,0,0,0,0,0,0,0,0,0,936,502,9320,1717,0,1,1,0,16,0,0,,0,55,30,0,318,1,48,558,0,1035,953,684,21,1,0,0,1,16030
5710,635a5fac-2a15-47cf-859e-289deb7f6825,ALBERNI CHRYSLER LTD,ALBERNI CHRYSLER DODGE JEEP RAM,68,0,0,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,211,170,4421,291,0,1,0,0,14128,1,9,,,0,14,6,223,0,36,4,,241,198,177,12,2,119,2,0,99
5711,635a5fac-2a15-47cf-859e-289deb7f6825,ISLAND AUTO ACCESSORIES LTD,ALBERNI TRUCK AND OVERLAND ACCESSORIES,414,0,0,0,0,0,2,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,4421,291,0,0,0,0,14128,0,0,,,0,2,0,0,0,0,8,,20,11,19,0,0,114,0,0,36
5712,635a5fac-2a15-47cf-859e-289deb7f6825,ECHO AUTOMOTIVE INVESTMENTS LTD,ALBERNI TOYOTA,59,0,0,0,2,1,0,0,5,5,2,1,0,0,0,0,0,0,0,0,305,204,4421,291,0,2,1,0,14128,70,48,,,56,23,0,616,0,11,3,,439,399,336,14,2,118,2,0,1302
5715,E6B2BD3F-5879-4382-A68C-0B4CDF5E3BF4,HSA Leasing,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57225,6806,0,0,0,3,25728,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,86,0,0,1459
5716,E0923714-62D2-4821-A81D-B26FD24107D1,2566971 ALBERTA LTD,RIVER VALLEY FORD,463,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,443,224,7208,406,0,2,9,0,0,0,127,,,157,34,0,156,2,177,2,,498,400,268,0,3,0,0,0,1656
5717,9d122904-b9f5-4a35-8774-961df16e7599,ABBOTSFORD NISSAN LTD,,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,47,3695,1086,0,1,0,0,316080,0,11,,,1,18,0,212,1,4,22,,670,629,451,67,1,0,0,0,137
5907,4050461f-72b9-4127-b596-bea42299b920,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
5908,e9cd18d3-62da-4f98-8d7d-8cf2077523ac,1001102770 ONTARIO LTD,ONTARIO HYUNDAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,91299,3770,0,2,0,10,8,0,97,,,0,0,0,628,1,41,19,,1433,1376,1068,0,11,491,5,0,3040
5999,3FAE8A39-BF49-4A11-B2E8-B1E22DE599B5,WEINS CANADA INC.,WEINS CONNECTION TESTING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264232,148172,0,0,0,30,7912,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10690
6017,A0595419-6463-41F8-8585-16554DB96A91,KELOWNA KIA,,286,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,723,6536,2276,0,4,0,1,0,0,0,,0,108,23,0,1605,1,0,38,0,515,430,329,5,2,202,2,0,2731
6039,A0EA6AB0-5D18-43C9-BCE7-69C61BE231D1,BILL HOWICH CHRYSLER LTD.,,145,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,314,876,481,0,1,1,1,0,0,1,,,72,31,0,518,1,0,69,,387,321,250,0,1,59,1,1,4940
6044,D7304066-7291-4C8E-9D23-94DFF1A1D241,TOTAL LEASE AND TRUCK SALES LTD.,ELITE AUTO CENTRE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,168,0,0,0,0,8,0,9,,,0,13,0,0,0,0,0,,0,0,0,0,0,0,0,0,2008
6058,ACE7EAB2-4FAC-40E0-A3F8-AE4C7795C931,BAYE ENTERPRISES INC. ,RANCHLAND HONDA,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2581,29,0,0,0,0,8,0,0,,0,0,7,0,23,1,0,25,0,311,271,214,0,1,0,0,0,29
6065,F9BD4839-C0E9-499C-86A5-20B7DD2B4D44,FREEWAY IMPORTS LTD.,FREEWAY MAZDA,97,58,0,0,1,0,11,9,9,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
6068,5616A301-1481-4F52-A164-E8AB8C0EBC87,VERNON CHRYSLER DODGE LTD.,VERNON DODGE JEEP,557,61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,300,45,7282,374,0,1,0,1,0,0,20,,,45,44,0,27,1,2,672,,745,703,439,0,1,43,1,0,5926
6071,CADA8470-5F99-4B59-A0B8-BEAC7B2F0911,INLAND AUTO CENTRE LTD.,,264,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3532,322,0,1,0,0,0,0,66,,,0,28,0,0,1,0,0,,382,338,222,0,1,100,2,0,953
6075,2539A780-9A26-4B4B-8099-B61246B126DF,Kelowna Motors Ltd.,AUGUST MAZDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0,0,2,0,0,1,0,0,0,0,0,0,0,1,143,0,0,0
6081,70F7F7AA-CDD5-4860-808F-C02BCA7F923F,MARRAND AUTO INC.,,2628,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7065,619,0,0,0,0,0,0,0,,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,370
6083,BDB8BB79-E296-40EF-B750-EB6C9C788E17,FORT CITY CHRYSLER SALES LTD.,,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3948,209,0,0,0,0,8,0,0,,0,0,25,0,0,1,94,0,0,303,242,156,0,1,0,0,0,804
6084,3E8DAB53-51BC-438D-9DBA-F553D6A30A28,FRASER CITY MOTORS LTD.,LANGLEY CHRYSLER DODGE JEEP,6,143,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,837,0,12320,841,154,1,1,0,0,0,0,,0,0,54,0,2,1,487,6,0,1200,983,447,1,12,0,0,0,9243
6093,4D9A6982-9DCE-481B-B2B7-B3DDBC0A40DE,FLEET WING ENTERPRISES LTD.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7149,65,424,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6119,A56885E9-B90C-4ECF-A04A-91D40BF734E0,JIM SAMPSON MOTORS 1997 LTD.,,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,4848,499,0,1,0,0,8,0,0,,,0,24,0,0,1,0,1,,611,565,452,54,1,0,0,0,1686
6124,DA03DD40-563E-42AB-946D-C593808EA1EF,DOBSON CHRYSLER DODGE,,452,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,7129,184,0,1,0,0,0,1,0,,,0,22,0,0,1,164,16,,735,642,381,0,1,0,0,0,389
6125,4AA6C7B3-A187-4854-885D-7B7C6EA00951,AMHERST CHRYSLER (1999) LTD.,,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,2302,211,0,1,0,0,0,0,0,,0,70,28,0,0,0,0,92,0,961,909,575,0,0,84,0,0,766
6128,772ACA18-3717-464D-A2E7-5BA0F5BA5D0C,CAPE BRETON HYUNDAI,,410,0,0,0,158,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,7061,1446,0,1,0,0,8,0,4,,,0,19,0,0,1,0,25,,969,937,619,234,1,0,0,1,2008
6129,5D3CB949-1B73-4BD2-8541-75401F320910,CITY CHRYSLER CORNER BROOK,,71,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,38,3053,274,0,0,1,0,0,0,0,,,10,26,0,34,1,90,5,,262,202,123,0,1,0,0,0,2478
6137,E42BFF20-574F-4643-B840-DD3D73638E53,CLARENVILLE HONDA,,73,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4182,75,0,3,0,0,0,0,0,,0,0,19,0,0,1,199,1,0,503,442,270,0,0,53,19,0,59
6138,F2551BCA-899F-4FF7-AAC5-9F6472EC1635,BOUCTOUCHE CHRYSLER DODGE LTD.,,116,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,5,2695,273,0,1,0,0,0,0,0,,0,0,17,0,2,1,54,45,0,318,240,229,0,12,109,3,0,725
6140,B947F6AE-469A-47AC-B6E3-1B60C14834E5,MIRAMICHI KIA,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,58,19063,924,0,0,0,2,1648,0,35,,,1,13,0,2,1,0,11,,262,242,162,0,1,177,0,1,1495
6141,C33F6937-6756-4490-BC4D-5DB8D6E000DD,RICHIBUCTO MOTORS,,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,49,4658,793,0,1,0,0,0,0,0,,0,0,18,0,0,1,100,36,0,377,199,277,3,1,153,2,0,787
6142,C33F6937-6756-4490-BC4D-5DB8D6E000DD,KENT MOTORS (BOUCTOUCHE FORD dba Kent Motors),,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1,4658,793,0,1,0,0,0,0,0,,0,0,3,0,0,1,0,44,0,303,225,211,0,1,59,2,0,204
6143,29C84314-A57F-4D30-978B-6793053F2483,ATLANTIC KIA,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1418,38,0,0,0,0,0,0,0,,0,0,11,0,0,1,0,74,0,250,224,134,0,0,64,0,0,492
6147,744DC4AE-69E9-44D3-A88C-4DFA1A2A2B49,MACDONALD CHRYSLER,,172,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2769,43,0,1,0,0,8,0,0,,0,0,13,0,0,0,0,18,0,321,282,196,0,0,0,0,0,95
6149,C9DF2B92-7845-4769-9248-C87D8754FB08,BUY METRO PREOWNED AUTO SALES LTD.,BUY METRO PREOWNED AUTO SALES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,2348,187,0,1,0,1,8,0,2,,,0,16,0,0,1,13,0,,379,312,191,0,0,0,0,0,1464
6150,0FB35B77-5885-4867-B8AB-CB640B047EC7,CENTRAL NOVA MOTORS LTD (HYUNDAI),,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,5043,302,0,0,0,0,0,0,0,,0,0,12,0,28,1,0,2,0,313,292,232,41,0,0,0,0,131
6153,CDBDDEB4-E280-42EB-B7C9-4961D4455147,655643 NB LTD,PORT CITY KIA,152,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,4565,34,0,0,0,0,0,0,0,,,0,15,0,0,1,134,49,,629,594,425,0,0,113,2,0,833
6155,F80A551F-6A1D-46F4-B707-DF525991164F,CRC RV CENTRE - FREDERICTON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
6156,1CF1EDD4-42E8-4E73-8C95-C6C199D398B6,KELTIC MOTORS,,159,40,0,0,8,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,439,275,5331,388,0,0,0,0,0,0,147,,,56,24,0,91,1,66,119,,507,381,357,0,1,142,2,1,1212
6158,190CFEE1-0030-42B2-8493-B7B5B719D0A7,DOWNEY FORD - St. Stephen,,34,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2,23807,1323,0,0,0,327,208,1,0,,,0,12,0,0,1,0,3,,424,363,319,0,0,0,0,1,386
6159,190CFEE1-0030-42B2-8493-B7B5B719D0A7,DOWNEY FORD - Sussex,,73,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,15,23807,1323,0,0,0,327,208,0,0,,,0,13,0,84,0,1,143,,335,277,200,2,0,0,0,0,571
6160,190CFEE1-0030-42B2-8493-B7B5B719D0A7,DOWNEY SUPREME AUTO,,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,29,23807,1323,0,0,0,327,208,0,0,,,0,7,0,0,0,0,6,,370,309,230,0,0,0,0,0,279
6162,12B7A6A3-7111-4453-A26D-382205367FE9,SUMMERSIDE HYUNDAI,,326,29,0,0,234,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,390,275,5563,1948,0,16,0,1,0,1,76,,,0,18,3,506,11,0,73,,596,525,394,76,17,172,3,1,3342
6163,B910556C-FA3D-495B-8901-547ECEBF7647,D ALEX MACDONALD FORD LTD.,,333,70,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,286,6513,409,0,1,0,0,0,0,147,,,0,29,0,0,1,0,133,,683,551,435,0,14,135,3,0,2513
6164,A04055CA-5A44-433D-ABE2-F869D5C7639A,RV CANADA - QUISPAMSIS,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6165,9E3EF63B-17EB-4605-8ECB-854883A4EF1A,FAIR ISLE FORD (C),,542,116,0,0,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,13142,727,0,1,1,1,0,0,216,,,0,46,0,6,1,0,3,,919,604,564,0,2,274,2,0,4283
6166,9E3EF63B-17EB-4605-8ECB-854883A4EF1A,FAIR ISLE FORD (M),,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,105,13142,727,0,1,0,1,0,0,74,,,0,10,0,2,1,0,35,,285,225,161,0,1,56,3,0,1540
6167,9AEB9F66-ED2F-449E-87D4-B91057E8BCCE,CENTENNIAL AUTO GROUP,CENTENNIAL CHRYSLER JEEP DODGE RAM,151,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,87,1446,285,0,1,1,0,0,0,7,,,25,15,0,57,1,0,72,,286,256,195,0,1,0,0,0,1057
6169,2CFD74A7-0B6A-492E-9164-2CD36310399E,CARSON EXPORTS,,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,4249,2591,0,1,1,2,8,0,53,,,0,30,0,782,1,0,60,,753,646,273,0,1,0,0,0,110
6170,47562208-C499-4AF9-B803-4B9DF1BE61CC,GREENWOOD AUTO SALES,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,8,0,0,,,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,59
6171,8868B74B-4535-4F0E-98A2-B34176A439B7,O'Regan's Volkswagen Halifax,,207,34,0,0,45,28,0,0,11,6,0,0,1,0,0,0,0,0,0,0,400,0,9718,215,0,0,0,2,8,0,15,,,0,44,0,16,1,0,0,,1131,998,886,2,0,0,0,0,4607
6172,8D5702DB-3DD6-47CE-A914-40B9C8EB3DD3,PORT HONDA,,58,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,44,1870,115,0,0,0,4,8,0,196,,,50,15,0,0,0,0,62,,375,325,196,0,0,71,1,0,1553
6173,B2DFEAC4-A8B5-4D56-8897-91BD7C00F749,RAMSAY'S HONDA AUTO SALES LIMITED,,121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,3340,79,0,0,0,0,8,0,176,,,0,23,0,0,0,54,0,,763,708,473,0,0,0,0,0,1725
6174,97FC94E4-9BA0-47F6-8D5C-B1313F20AC19,ATLANTIC COLLISION CENTRES LIMITED,,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7698,343,0,0,0,0,0,0,0,,,0,4,0,0,0,0,0,,54,27,39,0,0,0,0,0,9
6176,43680EFC-0059-41E4-AF49-5C0CAA2EA5EA,CLARKE MOTORS LTD.,CENTENNIAL NISSAN,241,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,4394,453,0,1,0,0,0,0,231,,,56,26,0,0,1,0,34,,911,843,605,0,1,0,0,0,1701
